"País","ISO3","Estado","Producto","Actualización Completo","Actualización regla","Nota"
"Turquía","","Activo","tur_tourist","06/03/2025","17/04/2026","https://visagov.atlassian.net/browse/PRO-1091"
"Turquía","","Activo","tur_tourist_urgent","06/03/2025","17/04/2026","https://visagov.atlassian.net/browse/PRO-1091"
"Tanzania","","Activo","tza_multiple","11/07/2025","","https://visagov.atlassian.net/browse/PRO-457"
"Tanzania","","Activo","tza_ordinary","11/07/2025","27/01/2026","https://visagov.atlassian.net/browse/PRO-960"
"Tanzania","","Inactivo","tza_transit","","",""
"Uganda","","Activo","uga_east-african","05/08/2025","10/04/2026","https://visagov.atlassian.net/browse/PRO-1067"
"Uganda","","Activo","uga_multiple-1","05/08/2025","10/04/2026","https://visagov.atlassian.net/browse/PRO-1067"
"Uganda","","Activo","uga_multiple-12","05/08/2025","10/04/2026","https://visagov.atlassian.net/browse/PRO-1067"
"Uganda","","Activo","uga_tourism","05/08/2025","10/04/2026","https://visagov.atlassian.net/browse/PRO-1067"
"Uganda","","Activo","uga_transit","05/08/2025","10/04/2026","https://visagov.atlassian.net/browse/PRO-1067"
"Estados Unidos","","Activo","usa_b1_b2_visitor_visa","27/11/2025","","https://visagov.atlassian.net/browse/PM-1"
"Estados Unidos","","Activo","usa_simple","07/07/2025","25/02/2026","https://visagov.atlassian.net/browse/PRO-1012"
"Estados Unidos","","Activo","usa_simple_urgent","07/07/2025","05/01/2026","https://visagov.atlassian.net/browse/PRO-913"
"Estados Unidos","","Inactivo","usa_transit","","",""
"Estados Unidos","","Inactivo","usa_transit_urgent","","",""
"Vietnam","","Activo","vnm_evisa_multi","29/05/2025","20/04/2026","https://visagov.atlassian.net/browse/PRO-1093"
"Vietnam","","Activo","vnm_evisa_single","29/05/2025","20/04/2026","https://visagov.atlassian.net/browse/PRO-1093"
"Vietnam","","Inactivo","vnm_multiple","","",""
"Vietnam","","Inactivo","vnm_simple","","",""
"Zambia","","Inactivo","zmb_business_double","","",""
"Zambia","","Inactivo","zmb_business_multiple","","",""
"Zambia","","Inactivo","zmb_business_single","","",""
"Zambia","","Activo","zmb_kaza","24/10/2025","","https://visagov.atlassian.net/browse/PRO-342"
"Zambia","","Activo","zmb_tourist_double","24/10/2025","","https://visagov.atlassian.net/browse/PRO-342"
"Zambia","","Activo","zmb_tourist_multiple","24/10/2025","","https://visagov.atlassian.net/browse/PRO-342"
"Zambia","","Activo","zmb_tourist_single","24/10/2025","","https://visagov.atlassian.net/browse/PRO-342"
"Zambia","","Activo","zmb_transit","24/10/2025","","https://visagov.atlassian.net/browse/PRO-342"
"Zimbabue","","Activo","zwe_double","06/11/2025","25/02/2026","https://visagov.atlassian.net/browse/PRO-1010"
"Zimbabue","","Activo","zwe_kaza","06/11/2025","05/01/2026","https://visagov.atlassian.net/browse/PRO-696"
"Zimbabue","","Activo","zwe_multiple","06/11/2025","05/01/2026","https://visagov.atlassian.net/browse/PRO-696"
"Zimbabue","","Activo","zwe_single","06/11/2025","05/01/2026","https://visagov.atlassian.net/browse/PRO-696"
"Zimbabue","","Inactivo","zwe_tourist_double","","",""
"Zimbabue","","Inactivo","zwe_tourist_kaza","","",""
"Zimbabue","","Inactivo","zwe_tourist_single","","",""
"Zimbabue","","Inactivo","zwe_transit_double","","",""
"Zimbabue","","Inactivo","zwe_transit_single","","",""
